[ERROR] 2026-05-31 12:47:24,425 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[ERROR] 2026-05-31 12:47:24,929 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[INFO] 2026-05-31 13:11:20,968 | topic_api | New vote: student=202434980 topic=1 opinion=False
[INFO] 2026-05-31 13:12:51,833 | topic_api | Comment created: id=1 student=202434980 topic=1
[INFO] 2026-05-31 13:16:43,658 | topic_api | Vote changed with 1 comments deleted: student=202434980 topic=1 True¡æFalse
[INFO] 2026-05-31 13:29:44,505 | topic_api | Comment created: id=102 student=202434980 topic=1
[ERROR] 2026-05-31 14:04:30,249 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[ERROR] 2026-05-31 14:04:35,347 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[INFO] 2026-05-31 14:09:23,590 | topic_api | Comment deleted: id=102 student=202434980
[ERROR] 2026-05-31 14:10:13,712 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[INFO] 2026-05-31 14:12:25,920 | topic_api | Comment created: id=103 student=202434980 topic=1
[ERROR] 2026-05-31 14:29:53,066 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[ERROR] 2026-05-31 14:29:53,597 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[ERROR] 2026-06-02 00:47:21,050 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[ERROR] 2026-06-02 00:47:22,712 | topic_scheduler | APScheduler is not installed. Run: pip install APScheduler>=3.10.0
[INFO] 2026-06-02 01:24:29,926 | topic_scheduler | rotate_topic started: today=2026-06-02
[INFO] 2026-06-02 01:24:29,934 | topic_scheduler | Deactivated 1 topic(s)
[INFO] 2026-06-02 01:24:29,937 | topic_scheduler | Activated 1 topic(s) for 2026-06-02
[INFO] 2026-06-02 01:25:59,115 | topic_api | New vote: student=202434980 topic=3 opinion=False
[INFO] 2026-06-02 01:33:13,651 | topic_scheduler | Topic rotation scheduler started (daily 00:00 KST)
[INFO] 2026-06-02 01:33:13,651 | topic_scheduler | rotate_topic started: today=2026-06-02
[INFO] 2026-06-02 01:33:13,657 | topic_scheduler | Deactivated 1 topic(s)
[INFO] 2026-06-02 01:33:13,660 | topic_scheduler | Activated 1 topic(s) for 2026-06-02
[INFO] 2026-06-02 01:42:03,309 | topic_scheduler | Topic rotation scheduler started (daily 00:00 KST)
[INFO] 2026-06-02 01:42:03,309 | topic_scheduler | rotate_topic started: today=2026-06-02
[INFO] 2026-06-02 01:42:03,324 | topic_scheduler | Deactivated 1 topic(s)
[INFO] 2026-06-02 01:42:03,329 | topic_scheduler | Activated 1 topic(s) for 2026-06-02
[INFO] 2026-06-02 02:01:38,064 | topic_scheduler | Topic rotation scheduler started (daily 00:00 KST)
[INFO] 2026-06-02 02:01:38,064 | topic_scheduler | rotate_topic started: today=2026-06-02
[INFO] 2026-06-02 02:01:38,105 | topic_scheduler | Deactivated 1 topic(s)
[INFO] 2026-06-02 02:01:38,109 | topic_scheduler | Activated 1 topic(s) for 2026-06-02
[INFO] 2026-06-02 02:17:47,435 | topic_scheduler | Topic rotation scheduler started (daily 00:00 KST)
[INFO] 2026-06-02 02:17:47,435 | topic_scheduler | rotate_topic started: today=2026-06-02
[INFO] 2026-06-02 02:17:47,451 | topic_scheduler | Deactivated 1 topic(s)
[INFO] 2026-06-02 02:17:47,456 | topic_scheduler | Activated 1 topic(s) for 2026-06-02
